# 词组读音,只收「读音异于逐字默认」的条目 —— 那正是修多音字需要的。
# 从 pypinyin 的 large_pinyin 导出(参考实现用的同一份),勿手改。
㞎㞎	ba3 ba5
不切题地	bu2 qie4 ti2 de5
不划算	bu4 hua2 suan4
不利地	bu4 li4 de5
不到	bu2 dao4
不到位	bu2 dao4 wei4
不到头	bu2 dao4 tou2
不到家	bu2 dao4 jia1
不到得	bu2 dao4 de5
不到的	bu2 dao4 de5
不剌	bu4 la4
不剌剌	bu4 la4 la4
不剌头	bu4 la4 tou2
不动地	bu4 dong4 de5
不动如山	bu2 dong4 ru2 shan1
不动心地	bu4 dong4 xin1 de5
不区别地	bu4 qu1 bie2 de5
不协调	bu4 xie2 tiao2
不协调地	bu4 xie2 tiao2 de5
不卖查梨	bu4 mai4 zha1 li2
不卫生地	bu4 wei4 sheng1 de5
不厌倦地	bu4 yan4 juan4 de5
不及物地	bu4 ji2 wu4 de5
不友善地	bu4 you3 shan4 de5
不友好地	bu4 you3 hao3 de5
不发声地	bu4 fa1 sheng1 de5
不变化地	bu4 bian4 hua4 de5
不变地	bu4 bian4 de5
不可估量	bu4 ke3 gu1 liang2
不可信地	bu4 ke3 xin4 de5
不可分地	bu4 ke3 fen1 de5
不可揆度	bu4 ke3 kui2 duo2
不可数	bu4 ke3 shu3
不可数地	bu4 ke3 shu4 de5
不可数集	bu4 ke3 shuo4 ji2
不可究诘	bu4 ke3 jiu1 jie2
不可胜数	bu4 ke3 sheng4 shu3
不可能地	bu4 ke3 neng2 de5
不可觉地	bu4 ke3 jue2 de5
不可解地	bu4 ke3 jie3 de5
不可闻地	bu4 ke3 wen2 de5
不可靠地	bu4 ke3 kao4 de5
不合宜地	bu4 he2 yi2 de5
不合理地	bu4 he2 li3 de5
不合适地	bu4 he2 shi4 de5
不吉利地	bu4 ji2 li4 de5
不吉地	bu4 ji2 de5
不吉祥地	bu4 ji2 xiang2 de5
不同地	bu4 tong2 de5
不同等地	bu4 tong2 deng3 de5
不同类地	bu4 tong2 lei4 de5
不名誉地	bu4 ming2 yu4 de5
不吝惜地	bu4 lin4 xi1 de5
不含糊	bu4 han2 hu4
不含糊地	bu4 han2 hu4 de5
不听话地	bu4 ting1 hua4 de5
不咋地	bu4 za3 de5
不和悦地	bu4 he2 yue4 de5
不和蔼地	bu4 he2 ai3 de5
不和谐地	bu4 he2 xie2 de5
不善地	bu4 shan4 de5
不固定地	bu4 gu4 deng5 de5
不在乎地	bu4 zai4 hu1 de5
不在意地	bu4 zai4 yi4 de5
不在行	bu4 zai4 hang2
不均地	bu4 jun1 de5
不均衡地	bu4 jun1 heng2 de5
不坚固地	bu4 jian1 gu4 de5
不坦白地	bu4 tan3 bai2 de5
不坦诚地	bu4 tan3 cheng2 de5
不塞不流	bu4 se4 bu4 liu2
不处	bu4 chu3
不夜侯	bu4 ye4 hou4
不够格地	bu4 gou4 ge2 de5
不大方便	bu2 da4 fang1 bian4
不大离儿	bu4 da4 li2 er5
不失为	bu4 shi1 wei2
不夸张地	bu4 kua1 zhang1 de5
不好看地	bu4 hao3 kan4 de5
不妥地	bu4 tuo3 de5
不子	bu4 zi3
不宁地	bu4 ning2 de5
不安全地	bu4 an1 quan2 de5
不安分	bu4 an1 fen4
不安地	bu4 an1 de5
不安定地	bu4 an1 deng5 de5
不完全地	bu4 wan2 quan2 de5
不完善地	bu4 wan2 shan4 de5
不完备地	bu4 wan2 bei4 de5
不完美地	bu4 wan2 mei3 de5
不定冠词	bu4 ding4 guan4 ci2
不定地	bu4 deng5 de5
不定时地	bu4 deng5 shi2 de5
不定期地	bu4 deng5 qi1 de5
不实地	bu4 shi2 de5
不客气	bu2 ke4 qi4
不客气地	bu2 ke4 qi4 de5
不害臊地	bu4 hai4 sao4 de5
不宽恕地	bu4 kuan1 shu4 de5
不寐	bu2 mei4
不对	bu2 dui4
不对劲	bu2 dui4 jin4
不对劲儿	bu4 dui4 jin4 er5
不对味儿	bu2 dui4 wei4 er5
不对头	bu2 dui4 tou2
不对当	bu2 dui4 dang1
不对碴儿	bu4 dui4 cha2 er5
不对称	bu4 dui4 chen4
不对茬儿	bu2 dui4 cha2 er2
不寻常地	bu4 xun2 chang2 de5
不寻思	bu4 xin2 si1
不小心地	bu4 xiao3 xin1 de5
不少地	bu4 shao3 de5
不尽	bu4 jin4
不尽根	bu4 jin4 gen1
不尽然	bu4 jin4 ran2
不屈地	bu4 qu1 de5
不屈曲地	bu4 qu1 qu1 de5
不屈服地	bu4 qu1 fu2 de5
不屑一读	bu2 xie4 yi4 du2
不屑于	bu2 xie4 yu2
不屑地说	bu4 xie4 de5 shuo1
不屑意	bu2 xie4 yi4
不差上下	bu4 cha1 shang4 xia4
不差什	bu4 cha4 shi2
不差似	bu4 cha4 si4
不差毫厘	bu4 cha1 hao2 li2
不差毫发	bu4 cha1 hao2 fa4
不差累黍	bu4 cha1 lei3 shu3
不常有地	bu4 chang2 you3 de5
不干不净	bu4 gan1 bu4 jing4
不干净	bu4 gan1 jing4
不干涉	bu4 gan1 she4
不干胶	bu4 gan1 jiao1
不平地	bu4 ping2 de5
不平坦地	bu4 ping2 tan3 de5
不平常地	bu4 ping2 chang2 de5
不平稳地	bu4 ping2 wen3 de5
不平衡地	bu4 ping2 heng2 de5
不幸地	bu4 xing4 de5
不幸言中	bu4 xing4 yan2 zhong4
不幽默地	bu4 you1 mo4 de5
不应当地	bu4 ying1 dang1 de5
不应得地	bu4 ying1 de5 de5
不应期	bu4 ying4 qi1
不延迟地	bu4 yan2 chi2 de5
不当	bu4 dang4
不当人	bu4 dang4 ren2
不当人子	bu4 dang1 ren2 zi3
不当价	bu4 dang4 jia4
不当地	bu4 dang4 de5
不当奇	bu4 dang4 qi2
不当家	bu4 dang4 jia1
不当得利	bu4 dang4 de2 li4
不当村	bu4 dang4 cun1
不当稳便	bu4 dang4 wen3 bian4
不当道	bu4 dang4 dao4
不徇	bu4 xun2
不得体地	bu4 de2 ti3 de5
不得命	bu5 de5 ming5
不得已地	bu4 de2 yi3 de5
不得当地	bu4 de2 dang1 de5
不得虎子	bu4 de2 hu3 zi3
不必要地	bu4 bi4 yao4 de5
不忘宿志	bu2 wang4 su4 zhi4
不忠地	bu4 zhong1 de5
不忠实地	bu4 zhong1 shi2 de5
不怀好意	bu4 huai2 hao4 yi4
不怕地	bu4 pa4 de5
不怨地	bu4 yuan4 de5
不恰当地	bu4 qia4 dang4 de5
不悦	bu2 yue4
不悦地	bu2 yue4 de5
不情愿地	bu4 qing2 yuan4 de5
不愉快地	bu4 yu2 kuai4 de5
不愿意地	bu4 yuan4 yi4 de5
不慈悲地	bu4 ci2 bei1 de5
不慌张地	bu4 huang1 zhang1 de5
不慌忙地	bu4 huang1 mang2 de5
不慎地	bu4 shen4 de5
不懈地	bu4 xie4 de5
不成形地	bu4 cheng2 xing2 de5
不战而胜	bu2 zhan4 er2 sheng4
不战而降	bu2 zhan4 er2 xiang2
不戴帽地	bu4 dai4 mao4 de5
不拉几	bu4 la1 ji1
不拔一毛	bu4 ba2 yi4 mao2
不拘于时	bu5 ju5 yu5 shi5
不拘形迹	bu4 ju1 xing2 ji1
不持久地	bu4 chi2 jiu3 de5
不揣	bu4 chuai3
不揣冒昧	bu4 chuai3 mao4 mei4
不敢恭维	bu4 gan3 gong1 wei5
不敬地	bu4 jing4 de5
不数数	bu4 shu3 shu4
不整洁地	bu4 zheng3 jie2 de5
不整齐地	bu4 zheng3 qi2 de5
不断地	bu4 duan4 de5
不断地做	bu4 duan4 de5 zuo4
不断地去	bu4 duan4 de5 qu4
不断地将	bu4 duan4 de5 jiang1
不断地抄	bu4 duan4 de5 chao1
不断地来	bu4 duan4 de5 lai2
不断地笑	bu4 duan4 de5 xiao4
不断地练	bu4 duan4 de5 lian4
不断地能	bu4 duan4 de5 neng2
不断地谈	bu4 duan4 de5 tan2
不方便地	bu4 fang1 bian4 de5
不早当晚	bu4 zao3 dang4 wan3
不时地	bu4 shi2 de5
不时髦地	bu4 shi2 mao2 de5
不明了地	bu4 ming2 le5 de5
不明显地	bu4 ming2 xian3 de5
不明智地	bu4 ming2 zhi4 de5
不明确地	bu4 ming2 que4 de5
不易地	bu4 yi4 de5
不易弯地	bu4 yi4 wan1 de5
不是	bu2 shi4
不是东西	bu4 shi4 dong1 xi5
不是个儿	bu2 shi4 ge4 er2
不是事	bu2 shi4 shi4
不是味儿	bu2 shi4 wei4 er2
不是处	bu2 shi4 chu4
不是头	bu2 shi4 tou2
不是玩的	bu2 shi4 wan2 de5
不是话头	bu2 shi4 hua4 tou2
不是路	bu2 shi4 lu4
不显着地	bu4 xian3 zhe5 de5
不智地	bu4 zhi4 de5
不更	bu4 geng1
不更事	bu4 geng1 shi4
不曾序过	bu5 ceng5 xu5 guo5
不服从地	bu4 fu2 cong2 de5
不服气地	bu4 fu2 qi4 de5
不期然地	bu4 qi1 ran2 de5
不机敏地	bu4 ji1 min3 de5
不朽地	bu4 xiu3 de5
不来头	bu4 lai2 tou5
不校	bu4 jiao4
不正地	bu4 zheng4 de5
不正常	bu2 zheng4 chang2
不正常地	bu2 zheng4 chang2 de5
不正当	bu4 zheng4 dang4
不正当地	bu4 zheng4 dang1 de5
不正直地	bu4 zheng4 zhi2 de5
不正确地	bu4 zheng4 que4 de5
不殷勤地	bu4 yin1 qin2 de5
不毂	bu4 gu1
不毛地	bu4 mao2 de5
不气长	bu4 qi4 chang2
不法分子	bu4 fa3 fen4 zi3
不注意地	bu4 zhu4 yi4 de5
不洁地	bu4 jie2 de5
不活动地	bu4 huo2 dong4 de5
不活泼地	bu4 huo2 po1 de5
不流行地	bu4 liu2 xing2 de5
不消得	bu4 xiao1 de5
不清楚	bu4 qing1 chu5
不清楚地	bu4 qing1 chu3 de5
不清洁地	bu4 qing1 jie2 de5
不滑稽地	bu4 hua2 ji1 de5
不满地	bu4 man3 de5
不满地说	bu4 man3 de5 shuo1
不满足地	bu4 man3 zu2 de5
不漂亮地	bu4 piao4 liang4 de5
不灭地	bu4 mie4 de5
不灵巧地	bu4 ling2 qiao3 de5
不点儿	bu4 dian3 er5
不热心地	bu4 re4 xin1 de5
不煞	bu4 sha4
不熟悉地	bu4 shu2 xi1 de5
不熟练地	bu4 shu2 lian4 de5
不犯着	bu4 fan4 zhao2
不犹疑地	bu4 you2 yi2 de5
不犹豫地	bu4 you2 yu4 de5
不理会地	bu4 li3 hui4 de5
不甚了了	bu4 shen4 liao3 liao3
不生育地	bu4 sheng1 yu4 de5
不用客气	bu4 yong4 ke4 qi5
不用说	bu2 yong4 shuo1
不由得	bu4 you2 de5
不畏惧地	bu4 wei4 ju4 de5
不畏缩地	bu4 wei4 suo1 de5
不留心地	bu4 liu2 xin1 de5
不留神地	bu4 liu2 shen2 de5
不疑地	bu4 yi2 de5
不疲倦地	bu4 pi2 juan4 de5
不痛地	bu4 tong4 de5
不相中	bu4 xiang1 zhong4
不相为谋	bu4 xiang1 wei2 mou2
不相信地	bu4 xiang1 xin4 de5
不相同地	bu4 xiang1 tong2 de5
不相容地	bu4 xiang1 rong2 de5
不相干	bu4 xiang1 gan1
不相称	bu4 xiang1 chen4
不相称地	bu4 xiang1 chen4 de5
不相等地	bu4 xiang1 deng3 de5
不省	bu4 xing3
不省人事	bu4 xing3 ren2 shi4
不省得	bu4 xing3 de5
不眨眼地	bu4 zha3 yan3 de5
不着	bu4 zhao2
不着人	bu4 zhao2 ren2
不着坟墓	bu4 zhao2 fen2 mu4
不着家	bu4 zhao2 jia1
不着情	bu4 zhao2 qing2
不着意	bu4 zhuo2 yi4
不着疼热	bu4 zhuo2 teng2 re4
不着痕迹	bu4 zhuo2 hen2 ji4
不着调	bu4 zhao2 diao4
不着边际	bu4 zhuo2 bian1 ji4
不知名地	bu4 zhi1 ming2 de5
不知情地	bu4 zhi1 qing2 de5
不知所为	bu4 zhi1 suo3 wei2
不知觉地	bu4 zhi1 jue2 de5
不知起倒	bu4 zhi1 qi3 dao3
不知足地	bu4 zhi1 zu2 de5
不知颠倒	bu4 zhi1 dian1 dao3
不破不立	bu2 po4 bu2 li4
不确定地	bu4 que4 deng5 de5
不碍事地	bu4 ai4 shi4 de5
不碎玻璃	bu4 sui4 bo1 li5
不礼貌地	bu4 li3 mao4 de5
不祥地	bu4 xiang2 de5
不禁	bu4 jin1
不禁不由	bu4 jin1 bu4 you2
不禁地	bu4 jin1 de5
不离儿	bu4 li2 er5
不稳定地	bu4 wen3 deng5 de5
不究	bu4 jiu4
不突出地	bu4 tu1 chu1 de5
不等边地	bu4 deng3 bian1 de5
不答理	bu4 da1 li3
不粘锅	bu4 nian2 guo1
不精密地	bu4 jing1 mi4 de5
不精确地	bu4 jing1 que4 de5
不糁	bu4 shen1
不糂	bu4 shen1
不纯地	bu4 chun2 de5
不终朝	bu4 zhong1 zhao1
不经常地	bu4 jing1 chang2 de5
不经意地	bu4 jing1 yi4 de5
不经济地	bu4 jing1 ji4 de5
不绝地	bu4 jue2 de5
不绝如发	bu4 jue2 ru2 fa4
不老实地	bu4 lao3 shi2 de5
不老少	bu4 lao3 shao4
不老练地	bu4 lao3 lian4 de5
不耐烦地	bu4 nai4 fan2 de5
不耻相师	bu5 chi5 xiang5 shi5
不肖子	bu2 xiao4 zi3
不肖子孙	bu4 xiao4 zi3 sun1
不肯定地	bu4 ken3 deng5 de5
不胜杯杓	bu4 sheng4 bei1 shao2
不胜桮杓	bu4 sheng4 bei1 shao2
不脸红地	bu4 lian3 hong2 de5
不自然地	bu4 zi4 ran2 de5
不自禁	bu4 zi4 jin1
不自私地	bu4 zi4 si1 de5
不自觉地	bu4 zi4 jue2 de5
不舍得	bu4 she3 de5
不舒服地	bu4 shu1 fu2 de5
不舒适地	bu4 shu1 shi4 de5
不良地	bu4 liang2 de5
不节俭地	bu4 jie2 jian3 de5
不菲	bu4 fei3
不萉	bu4 fei2
不落	bu4 la4
不落体	bu4 la4 ti3
不落夹	bu4 la4 jia1
不落手	bu4 la4 shou3
不落眼	bu4 la4 yan3
不落荚	bu4 la4 jia2
不落道	bu4 la4 dao4
不藉	bu4 jie4
不藉木	bu4 jie4 mu4
不虔诚地	bu4 qian2 cheng2 de5
不虚伪地	bu4 xu1 wei3 de5
不衰地	bu4 shuai1 de5
不衰弱地	bu4 shuai1 ruo4 de5
不褪色地	bu4 tui4 shai3 de5
不要	bu2 yao4
不要怕	bu2 yao4 pa4
不要紧	bu2 yao4 jin3
不要脸	bu2 yao4 lian3
不要脸地	bu2 yao4 lian3 de5
不见	bu2 jian4
不见不散	bu2 jian4 bu2 san4
不见了	bu2 jian4 le5
不见便	bu2 jian4 bian4
不见得	bu2 jian4 de5
不见的	bu2 jian4 de5
不见经传	bu4 jian4 jing1 zhuan4
不见舆薪	bu2 jian4 yu2 xin1
不见起	bu2 jian4 qi3
不规则地	bu4 gui1 ze2 de5
不规律地	bu4 gui1 lv4 de5
不规矩	bu4 gui1 ju5
不觉地	bu4 jue2 de5
不觉察地	bu4 jue2 cha2 de5
不解地	bu4 jie3 de5
不解地说	bu4 jie3 de5 shuo1
不解地问	bu4 jie3 de5 wen4
不触目地	bu4 chu4 mu4 de5
不计得失	bu2 ji4 de2 shi1
不认真地	bu4 ren4 zhen1 de5
不记得	bu2 ji4 de2
不许可地	bu4 xu3 ke3 de5
不论何地	bu4 lun4 he2 de5
不论如何	bu2 lun4 ru2 he2
不识得有	bu4 shi2 de5 you3
不识相	bu4 shi2 xiang4
不识起倒	bu4 shi2 qi3 dao3
不诚恳地	bu4 cheng2 ken3 de5
不调	bu4 tiao2
不调和	bu4 tiao2 he2
不调和地	bu4 tiao2 he2 de5
不调贴	bu4 tiao2 tie1
不贞地	bu4 zhen1 de5
不贤都头	bu4 xian2 du1 tou2
不贪为宝	bu4 tan1 wei2 bao3
不贵地	bu4 gui4 de5
不费力地	bu4 fei4 li4 de5
不赞成地	bu4 zan4 cheng2 de5
不起眼儿	bu4 qi3 yan3 er5
不足为凭	bu4 zu2 wei2 ping2
不足为奇	bu4 zu2 wei2 qi2
不足为怪	bu4 zu2 wei2 guai4
不足为意	bu4 zu2 wei2 yi4
不足为据	bu4 zu2 wei2 ju4
不足为法	bu4 zu2 wei2 fa3
不足为虑	bu4 zu2 wei2 lv4
不足为训	bu4 zu2 wei2 xun4
不足为道	bu4 zu2 wei2 dao4
不足兴	bu4 zu2 xing4
不足取地	bu4 zu2 qu3 de5
不足地	bu4 zu2 de5
不足道地	bu4 zu2 dao4 de5
不足齿数	bu4 zu2 chi3 shu3
不踌躇地	bu4 chou2 chu2 de5
不转头	bu4 zhuan4 tou2
不转眼	bu4 zhuan4 yan3
不转睛	bu4 zhuan4 jing1
不轻信地	bu4 qing1 xin4 de5
不辟斧钺	bu4 bi4 fu3 yue4
不过地	bu4 guo4 de5
不还踵	bu4 huan2 zhong3
不连续地	bu4 lian2 xu4 de5
不连贯地	bu4 lian2 guan4 de5
不迟疑地	bu4 chi2 yi2 de5
不适切地	bu4 shi4 qie4 de5
不适合	bu2 shi4 he2
不适合地	bu2 shi4 he2 de5
不适宜地	bu4 shi4 yi2 de5
不适当	bu4 shi4 dang4
不适当地	bu4 shi4 dang1 de5
不逊地	bu4 xun4 de5
不透明	bu2 tou4 ming2
不透明地	bu2 tou4 ming2 de5
不遂	bu4 sui2
不遑启处	bu4 huang2 qi3 chu3
不遑宁处	bu4 huang2 ning2 chu3
不道得	bu4 dao4 de5
不道德地	bu4 dao4 de2 de5
不遗寸长	bu4 yi2 cun4 chang2
不配合地	bu4 pei4 he2 de5
不重要	bu2 zhong4 yao4
不重要地	bu2 zhong4 yao4 de5
不钉点儿	bu4 ding1 dian3 er5
不长眼睛	bu4 zhang3 yan3 jing5
不间断地	bu4 jian4 duan4 de5
不阿	bu4 e1
不随溜儿	bu4 sui2 liu4 er2
不隐瞒地	bu4 yin3 man2 de5
不雅地	bu4 ya3 de5
不雅观地	bu4 ya3 guan1 de5
不露朴	bu4 lou4 piao2
不顺从地	bu4 shun4 cong2 de5
不顾地	bu4 gu4 de5
不高兴地	bu4 gao1 xing4 de5
不鲜	bu4 xian3
不鲜明地	bu4 xian1 ming2 de5
不齐地	bu4 qi2 de5
与世无争	yu2 shi4 wu2 zheng1
与世沉浮	yu2 shi4 chen2 fu2
与世长辞	yu3 shi4 chang2 ci2
与么	yu3 mo3
与人	yu2 ren2
与人为善	yu3 ren2 wei2 shan4
与会	yu4 hui4
与前同地	yu3 qian2 tong2 de5
与民更始	yu3 min2 geng1 shi3
与赛	yu4 sai4
与闻	yu4 wen2
丑剌剌	chou3 la4 la4
丑婆子	chou3 po2 zi3
丑怪地	chou3 guai4 de5
丑恶地	chou3 e4 de5
丑相	chou3 xiang4
丑角	chou3 jue2
丑陋地	chou3 lou4 de5
专业地	zhuan1 ye4 de5
专业银行	zhuan1 ye4 yin2 hang2
专切	zhuan1 qie1
专制地	zhuan1 zhi4 de5
专差	zhuan1 chai1
专心一致	zhuan1 xin1 yi2 zhi4
专心地	zhuan1 xin1 de5
专折	zhuan1 she2
专有地	zhuan1 you3 de5
专横	zhuan1 heng4
专横地	zhuan1 heng4 de5
专横跋扈	zhuan1 heng4 ba2 hu4
专注地	zhuan1 zhu4 de5
专长	zhuan1 chang2
专门地	zhuan1 men2 de5
专门性地	zhuan1 men2 xing4 de5
且住为佳	qie3 zhu4 wei2 jia1
且兰	ju1 lan2
且夫	qie3 fu2
丕应	pi1 ying4
世仆	shi4 pu2
世俗地	shi4 su2 de5
世子	shi4 zi3
世家子	shi4 jia1 zi3
世态人情	shi4 tai5 ren2 qing2
世曲	shi4 qu3
世界屋脊	shi4 jie4 wu1 ji3
世界银行	shi4 jie4 yin2 hang2
世相	shi4 xiang4
世行	shi4 hang2
世载	shi4 zai3
世辟	shi4 bi4
丘甸	qiu1 dian4
丘陵地	qiu1 ling2 de5
丙子	bing3 zi3
丙子战争	bing3 zi3 zhan4 zheng1
丙子胡乱	bing3 zi3 hu2 luan4
丙舍	bing3 she4
业子	ye4 zi3
业骨头	ye4 gu2 tou5
丛倒	cong2 dao3
丛沓	cong2 ta4
丛泊	cong2 bo2
丛箐	cong2 jing1
丛缪	cong2 miu4
东不着边	dong1 bu4 zhuo2 bian1
东亚银行	dong1 ya4 yin2 hang2
东倒西欹	dong1 dao3 xi1 qi1
东倒西歪	dong1 dao3 xi1 wai1
东厸	dong1 mian3
东又不着	dong1 you4 bu4 zhao2
东墙处子	dong1 qiang2 chu3 zi3
东头供奉	dong1 tou2 gong4 feng4
东家处子	dong1 jia1 chu3 zi3
东家夫子	dong1 jia1 fu1 zi3
东家子	dong1 jia1 zi3
东家孔子	dong1 jia1 kong3 zi3
东岗子	dong1 gang3 zi3
东户季子	dong1 hu4 ji4 zi3
东扯西唠	dong1 che3 xi1 lao4
东扶西倒	dong1 fu2 xi1 dao3
东抹西涂	dong1 mo4 xi1 tu2
东挦西撦	dong1 xian2 xi1 la4
东掖	dong1 ye4
东方千骑	dong1 fang1 qian1 ji4
东方地	dong1 fang1 de5
东横西倒	dong1 heng2 xi1 dao3
东歪西倒	dong1 wai1 xi1 dao3
东洋参	dong1 yang2 shen1
东渐	dong1 jian1
东渐于海	dong1 jian1 yu2 hai3
东皋子	dong1 gao1 zi3
东窗消息	dong1 chuang1 xiao1 xi5
东篱乐府	dong1 li2 yue4 fu3
东翻西倒	dong1 fan1 xi1 dao3
东菑	dong1 zi1
东西易面	dong1 xi5 yi4 mian4
东踅西倒	dong1 xue2 xi1 dao3
东边	dong1 bian5
东边儿	dong1 bian1 er5
东邻西舍	dong1 lin2 xi1 she4
东量西折	dong1 liang4 xi1 she2
东阙	dong1 que4
东阳二轧	dong1 yang2 er4 zha2
东阿	dong1 e1
东阿县	dong1 e1 xian4
东陵侯	dong1 ling2 hou4
东飘西泊	dong1 piao1 xi1 bo2
丝发	si1 fa4
丝子	si1 zi3
丝带地	si1 dai4 de5
丝恩发怨	si1 en1 fa4 yuan4
丝挂子	si1 gua4 zi3
丝柎	si1 fu4
丝柏	si1 bo2
丝毫不差	si1 hao2 bu4 cha1
丞相	cheng2 xiang4
丢三落四	diu1 san1 la4 si4
丢卒保车	diu1 zu2 bao3 ju1
丢尽脸面	diu1 jin4 lian3 mian4
丢撇	diu1 pie3
丢脸地	diu1 lian3 de5
丢车保帅	diu1 ju1 bao3 shuai4
两世为人	liang3 shi4 wei2 ren2
两侧地	liang3 ce4 de5
两侧对称	liang3 ce4 dui4 chen4
两倍地	liang3 bei4 de5
两口儿	liang3 kou3 er5
两和	liang3 huo4
两头儿	liang3 tou2 er5
两尽	liang3 jin4
两得	liang3 de5
两性差距	liang3 xing4 cha1 ju4
两性离子	liang3 xing4 li2 zi3
两服	liang3 fu4
两来子	liang3 lai2 zi3
两样东西	liang3 yang4 dong1 xi5
两界会子	liang3 jie4 hui4 zi3
两着儿	liang3 zhao1 er5
两石弓	liang3 dan4 gong1
两肋插刀	liang3 lei4 cha1 dao1
两贤相厄	liang3 xian2 xiang4 e4
两赖子	liang3 lai4 zi3
两边	liang3 bian5
两边倒	liang3 bian1 dao3
两边地	liang3 bian1 de5
两都	liang3 du1
两重	liang3 chong2
两重人格	liang3 chong2 ren2 ge2
两重天	liang3 chong2 tian1
两重性	liang3 chong2 xing4
两重阳	liang3 chong2 yang2
严了眼儿	yan2 le5 yan3 er5
严于律已	yan2 yu2 lv4 ji3
严切	yan2 qie1
严勑	yan2 lai4
严勒	yan2 le4
严厉地	yan2 li4 de5
严处	yan2 chu3
严子	yan2 zi3
严子濑	yan2 zi3 lai4
严实	yan2 shi5
严密地	yan2 mi4 de5
严峻地	yan2 jun4 de5
严更	yan2 geng1
严格地	yan2 ge2 de5
严格地讲	yan2 ge2 de5 jiang3
严格地说	yan2 ge2 de5 shuo1
严正地	yan2 zheng4 de5
严肃地	yan2 su4 de5
严肃地说	yan2 su4 de5 shuo1
严肃音乐	yan2 su4 yin1 yue4
严谨地	yan2 jin3 de5
严酷地	yan2 ku4 de5
严重地	yan2 zhong4 de5
丧乱	sang1 luan4
丧事	sang1 shi4
丧仆	sang4 pu2
丧仪	sang1 yi2
丧假	sang1 jia4
丧失殆尽	sang4 shi1 dai4 jin4
丧家子	sang4 jia1 zi3
丧尸	sang1 shi1
丧尽	sang4 jin4
丧尽天良	sang4 jin4 tian1 liang2
丧服	sang1 fu2
丧棒	sang1 bang4
丧气地	sang4 qi4 de5
丧煞	sang4 sha4
丧礼	sang1 li3
丧荒	sang1 huang1
丧葬	sang1 zang4
丧葬费	sang1 zang4 fei4
丧钟	sang1 zhong1
个人地	ge4 ren2 de5
个别地	ge4 bie2 de5
个处	ge4 chu3
个头儿	ge4 tou5 er5
丫头	ya1 tou5
丫头片子	ya1 tou5 pian4 zi5
丫巴儿	ya1 ba1 er5
丫杈	ya1 cha4
丫环	ya1 huan5
丫鬟	ya1 huan5
中举	zhong4 ju3
中乐透	zhong4 le4 tou4
中二千石	zhong1 er4 qian1 dan4
中伤	zhong4 shang1
中伤地	zhong4 shang1 de5
中信银行	zhong1 xin4 yin2 hang2
中倒	zhong1 dao3
中凸地	zhong1 tu1 de5
中北部地	zhong1 bei3 bu4 de5
中南部地	zhong1 nan2 bu4 de5
中卷	zhong1 juan4
中和乐舞	zhong1 he2 yue4 wu3
中国银行	zhong1 guo2 yin2 hang2
中圈套	zhong4 quan1 tao4
中坚分子	zhong1 jian1 fen4 zi3
中处	zhong1 chu3
中大夫	zhong1 dai4 fu1
中央空调	zhong1 yang1 kong1 tiao2
中央银行	zhong1 yang1 yin2 hang2
中奖	zhong4 jiang3
中妇诸子	zhong1 fu4 zhu1 zi3
中子	zhong1 zi3
中子俘获	zhong1 zi3 fu2 huo4
中子弹	zhong1 zi3 dan4
中子数	zhong1 zi3 shu4
中子星	zhong1 zi3 xing1
中子源	zhong1 zi3 yuan2
中宪大夫	zhong1 xian4 dai4 fu1
中将	zhong1 jiang4
中山狼传	zhong1 shan1 lang2 zhuan4
中干	zhong1 gan1
中庶子	zhong1 shu4 zi3
中庸地	zhong1 yong1 de5
中弹	zhong4 dan4
中彩	zhong4 cai3
中得	zhong1 de5
中微子	zhong1 wei1 zi3
中心地	zhong1 xin1 de5
中折	zhong1 she2
中招	zhong4 zhao1
中掖	zhong1 ye4
中断地	zhong1 duan4 de5
中暑	zhong4 shu3
中曲	zhong1 qu3
中更	zhong1 geng1
中杓鹬	zhong1 shao2 yu4
中板地	zhong1 ban3 de5
中枪	zhong4 qiang1
中标	zhong4 biao1
中毒	zhong4 du2
中毒性	zhong4 du2 xing4
中油	zhong4 you2
中洋脊	zhong1 yang2 ji3
中澣	zhong1 han4
中爪哇	zhong1 zhao3 wa1
中牟	zhong1 mu4
中甸	zhong1 dian4
中甸县	zhong1 dian4 xian4
中省地	zhong1 sheng3 de5
中空玻璃	zhong1 kong1 bo1 li5
中立地	zhong1 li4 de5
中等地	zhong1 deng3 de5
中签	zhong4 qian1
中箭落马	zhong4 jian4 luo4 ma3
中绳	zhong4 sheng2
中肯	zhong4 ken3
中肯地	zhong1 ken3 de5
中肯地说	zhong1 ken3 de5 shuo1
中脊	zhong1 ji3
中舍	zhong1 she4
中舍人	zhong1 she4 ren2
中行	zhong1 hang2
中规中矩	zhong4 gui1 zhong4 ju3
中觉	zhong1 jiao4
中计	zhong4 ji4
中选	zhong4 xuan3
中速地	zhong1 su4 de5
中邪	zhong4 xie2
中郎将	zhong1 lang2 jiang4
中都城	zhong1 du1 cheng2
中长	zhong1 chang2
中长期	zhong1 chang2 qi1
中长纤维	zhong1 chang2 xian1 wei2
中长跑	zhong1 chang2 pao3
中间地	zhong1 jian1 de5
中靶	zhong4 ba3
中风	zhong4 feng1
中风狂走	zhong4 feng1 kuang2 zou3
